"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",6521.077,34.611,85.999,0.062,0.486,0.005,0.784,0.046,19665.12,838.044,15.301,2.42,0.024,77.012,17.404,76.389,0.787,0.038,0.059,0.265,8.186,0.529,2.829,2.826,0.123,0.405,58.963,10.155,1.27,30.339,263.912,7.541,3.526,0.423,0.876,0.179,2018.864,1.336,0.269,0.093,0.673,1.568,9.269,9.63,25.488,42.983,57.447,6.505,25.467,0,16278.938,4.002,332.341,102.98,39.59,0,114.987,11022.933,0,57823.376
"DOM_A02",28.26,76.998,0.959,0.156,0.187,0.003,0.136,0.001,26.883,4.838,262.84,17.645,0.004,1.993,0.101,18.691,0.799,0.061,0.042,0.056,0.056,0.035,0.125,0.11,0.031,0.022,63.123,7.947,0.022,4.795,7.587,0.113,0.065,0.016,0.013,0.006,6.837,0.081,0.038,0.022,0.019,0.101,0.075,0.091,1.292,0.888,0.359,0.248,0.462,0,188.134,2.142,0.119,0.09,0.161,0,0.009,57.003,0,782.888
"DOM_A03",7.143,0.476,794.475,0.014,0.009,0.003,0.071,0,2888.954,1.034,0.022,0.038,0.01,0.667,0.149,0.127,0.129,0.01,0.018,0.091,0.61,0.105,0.165,0.067,0.033,0.009,0.586,0.088,0.064,0.404,17.838,0.328,1.177,0.101,0.051,0.001,630.91,0.288,0.063,0.081,0.24,0.257,0.206,0.326,7.141,3.812,5.078,0.422,1.534,0,2723.519,1.109,15.514,0.124,1.26,0,0.022,136.281,0,7243.257
"DOM_B05",1.325,0.03,0.018,5.105,1.303,0.048,1.178,0.152,3.922,2.877,0.176,1.652,10.401,8.394,0.046,1.51,21.377,31.353,4.262,0.133,0.651,0.348,0.385,0.641,0.077,0.303,0.489,426.696,0.089,4.374,0.762,0.595,0.02,0.057,0.034,0.006,0.804,0.012,0.019,0.005,0.011,0.115,0.057,0.038,0.718,1.128,0.078,0.009,0.406,0,0.093,0,0.027,0.119,0.002,0,0.005,5.342,0,539.775
"DOM_B06",0.291,0.003,0.033,0.402,701.126,0.03,1.575,0.173,5.518,1.814,0.324,2.175,5664.628,32.352,0.08,3.115,12.517,4.813,2.747,1.534,1.759,0.39,0.638,2.104,0.095,0.442,3.01,7630.948,0.287,1.649,4.4,1.262,0.099,1.355,0.246,0.063,0.74,0.068,0.031,0.03,0.087,0.266,0.419,0.252,0.977,0.836,0.089,0.036,0.131,0,0.095,0,0.007,0.071,0,0,0.009,65.007,0,14153.146
"DOM_B07",0.016,0,0.003,0.008,0.077,0.034,0.104,0.008,0.05,0.02,0.001,0.004,0.031,0.232,0.002,0.018,0.527,2.029,2.315,0.123,0.075,0.02,0.038,0.051,0.002,0.005,0.083,0.202,0.003,0.325,0.033,0.016,0.004,0.006,0.002,0.001,0.015,0.003,0.003,0.001,0.004,0.005,0.015,0.006,0.01,0.008,0.002,0.001,0.005,0,0.026,0,0.02,0.059,0,0,0.008,109.459,0,116.12
"DOM_B08",40.15,0.555,5.469,1.766,11.81,0.511,150.205,2.015,44.973,9.655,0.346,9.415,9.336,164.772,0.638,10.775,1314.372,73.986,24.141,8.2,15.86,7.158,5.874,6.065,0.247,0.828,52.909,50.764,2.975,875.354,5.151,2.798,0.082,0.08,0.187,0.022,3.993,0.015,0.049,0.005,0.019,4.502,0.737,1.229,6.905,0.959,0.165,0.194,0.857,0,0.108,0,0.006,0.13,0,0,0.017,475.744,0,3405.082
"DOM_B09",3.827,0.041,20.965,13.434,842.368,1.646,113.42,50.117,4.275,0.193,0.31,4.749,31.496,1.309,0.053,5.144,51.898,6.341,4.598,0.256,0.694,0.347,0.576,0.118,0.001,0.055,0.532,81.199,0.459,57.512,0.415,5.377,1.489,1.751,0.415,0.395,1.115,0.747,0.006,0.001,0.143,0.495,1.884,0.039,0.74,0.539,0.047,0.017,0.159,0,0.073,0,60.042,559.258,0,0,0.008,83.47,0,2016.559
"DOM_C10T12",2808.585,1.814,289.353,0.17,2.264,0.02,1.774,0.103,8734.644,183.481,2.555,16.258,0.957,155.703,23.836,16.963,6.354,0.689,1.062,3.348,29.05,4.395,6.445,7.42,0.404,1.755,56.974,4.631,2.287,15.369,344.914,15.052,27.993,7.987,2.724,1.113,7017.589,17.77,4.42,3.325,9.344,6.947,9.266,15.379,66.694,164.659,102.94,39.007,39.37,0,36244.077,17.638,209.174,0.295,93.711,0,104.171,29768.538,0,86712.763
"DOM_C13T15",34.507,2.211,76.014,1.234,9.837,0.147,3.848,0.539,66.604,16900.694,13.365,77.668,0.864,55.117,6.186,210.947,53.334,4.64,2.198,21.484,191.452,25.563,42.517,472.57,9.37,26.376,1459.526,10.208,5.397,99.344,286.697,23.54,4.313,9.522,3.436,6.476,297.602,9.852,4.226,2.095,5.471,4.987,26.934,53.694,125.899,78.699,73.053,33.62,114,0,13635.513,3.982,198.714,332.466,152.184,0,1026.285,7006.353,0,43403.377
"DOM_C16",11.741,1.512,1.248,0.206,0.663,0.02,0.62,0.037,23.375,13.736,238.586,21.597,0.023,8.59,0.375,10.29,15.311,0.472,0.615,5.709,21.976,5.725,5.635,33.091,3.783,2.643,647.551,3.796,0.304,262.679,20.45,2.806,0.227,0.229,0.967,0.052,13.427,1.22,0.237,0.119,0.332,5.24,2.632,2.047,1.186,3.517,1.61,0.503,6.668,0,245.491,0.001,0.306,51.266,18.58,0,6.337,2135.505,0,3862.865
"DOM_C17_18",37.345,0.574,10.302,0.188,5.036,0.076,1.611,0.172,704.479,183.617,28.149,1534.663,0.762,75.669,28.4,115.164,89.529,3.268,3.597,28.243,386.152,49.875,48.32,97.607,2.109,14.611,388.269,13.848,4.543,49.771,374.802,28.689,9.25,6.817,5.204,10.882,141.616,299.766,21.721,22.361,66.323,8.546,91.425,99.883,127.145,271.605,43.097,15.155,66.419,0,480.689,0.001,85.866,11.305,8.542,0,122.228,1877.026,0,8202.31
