year,ME_shock_annual
1994,0.140545575356528
1995,-0.0028173162759387964
1996,-0.029673739547803172
1997,0.0316334131764903
1998,-0.05282455369675601
1999,0.1699759313009087
2000,0.11810454557988351
2001,-0.6975298960213686
2002,-0.10688878983082689
2003,0.07638356851877721
2004,0.08621657703722546
2005,0.1389091999387477
2006,0.0796054130006952
2007,-0.03693665127176891
2008,-0.28042690753108923
2009,-0.029347414222765794
2010,0.03030166858025889
2011,0.087243284971698
2012,0.07295072020426341
2013,0.0546943416140218
2014,0.0941121257980141
2015,-0.05695010599387831
2016,-0.030313591956351298
2017,0.053887981535246654
2018,0.0650662458567743
2019,0.06576855683170749
2020,-0.14672237642266278
2021,0.086710872334242
2022,0.014623708698730205
2023,-0.11630237172996921
2024,0.033964389256136505
2025,0.0860355949108264
