month,REER_monthly,year
1994-01-01,99.26,1994
1994-02-01,98.19,1994
1994-03-01,98.15,1994
1994-04-01,97.88,1994
1994-05-01,98.09,1994
1994-06-01,98.32,1994
1994-07-01,97.14,1994
1994-08-01,96.95,1994
1994-09-01,97.16,1994
1994-10-01,96.45,1994
1994-11-01,96.07,1994
1994-12-01,96.26,1994
1995-01-01,95.96,1995
1995-02-01,95.91,1995
1995-03-01,93.96,1995
1995-04-01,91.97,1995
1995-05-01,92.72,1995
1995-06-01,92.86,1995
1995-07-01,93.73,1995
1995-08-01,96.74,1995
1995-09-01,98.62,1995
1995-10-01,99.13,1995
1995-11-01,99.33,1995
1995-12-01,99.63,1995
1996-01-01,100.55,1996
1996-02-01,101.07,1996
1996-03-01,101.08,1996
1996-04-01,101.37,1996
1996-05-01,101.57,1996
1996-06-01,101.96,1996
1996-07-01,102.08,1996
1996-08-01,102.59,1996
1996-09-01,102.61,1996
1996-10-01,103.32,1996
1996-11-01,103.65,1996
1996-12-01,103.81,1996
1997-01-01,104.79,1997
1997-02-01,106.47,1997
1997-03-01,107.38,1997
1997-04-01,107.21,1997
1997-05-01,107.07,1997
1997-06-01,111.57,1997
1997-07-01,91.99,1997
1997-08-01,89.86,1997
1997-09-01,83.34,1997
1997-10-01,79.45,1997
1997-11-01,77.98,1997
1997-12-01,71.62,1997
1998-01-01,62.34,1998
1998-02-01,70.68,1998
1998-03-01,79.08,1998
1998-04-01,82.97,1998
1998-05-01,85.11,1998
1998-06-01,80.92,1998
1998-07-01,83.36,1998
1998-08-01,83.72,1998
1998-09-01,83.27,1998
1998-10-01,84.09,1998
1998-11-01,87.25,1998
1998-12-01,87.05,1998
1999-01-01,85.89,1999
1999-02-01,86.25,1999
1999-03-01,86.3,1999
1999-04-01,85.6,1999
1999-05-01,86.77,1999
1999-06-01,86.91,1999
1999-07-01,86.56,1999
1999-08-01,83.36,1999
1999-09-01,78.19,1999
1999-10-01,78.52,1999
1999-11-01,80.21,1999
1999-12-01,81.47,1999
2000-01-01,83.69,2000
2000-02-01,84.31,2000
2000-03-01,83.67,2000
2000-04-01,83.27,2000
2000-05-01,82.83,2000
2000-06-01,81.59,2000
2000-07-01,79.88,2000
2000-08-01,79.53,2000
2000-09-01,77.87,2000
2000-10-01,75.96,2000
2000-11-01,75.58,2000
2000-12-01,76.31,2000
2001-01-01,76.7,2001
2001-02-01,78.09,2001
2001-03-01,77.06,2001
2001-04-01,75.71,2001
2001-05-01,75.63,2001
2001-06-01,76.39,2001
2001-07-01,76.3,2001
2001-08-01,75.85,2001
2001-09-01,76.42,2001
2001-10-01,76.18,2001
2001-11-01,77.1,2001
2001-12-01,78.43,2001
2002-01-01,79.39,2002
2002-02-01,80.08,2002
2002-03-01,80.32,2002
2002-04-01,80.06,2002
2002-05-01,79.79,2002
2002-06-01,79.53,2002
2002-07-01,79.82,2002
2002-08-01,78.47,2002
2002-09-01,77.81,2002
2002-10-01,77.37,2002
2002-11-01,76.72,2002
2002-12-01,76.38,2002
2003-01-01,76.57,2003
2003-02-01,76.08,2003
2003-03-01,76.03,2003
2003-04-01,76.0,2003
2003-05-01,75.99,2003
2003-06-01,76.71,2003
2003-07-01,76.96,2003
2003-08-01,77.86,2003
2003-09-01,78.83,2003
2003-10-01,78.64,2003
2003-11-01,78.33,2003
2003-12-01,77.53,2003
2004-01-01,78.03,2004
2004-02-01,78.29,2004
2004-03-01,78.46,2004
2004-04-01,78.58,2004
2004-05-01,77.79,2004
2004-06-01,76.82,2004
2004-07-01,76.34,2004
2004-08-01,75.76,2004
2004-09-01,75.61,2004
2004-10-01,74.95,2004
2004-11-01,74.88,2004
2004-12-01,76.16,2004
2005-01-01,77.14,2005
2005-02-01,77.95,2005
2005-03-01,78.15,2005
2005-04-01,77.27,2005
2005-05-01,77.25,2005
2005-06-01,76.48,2005
2005-07-01,76.9,2005
2005-08-01,77.38,2005
2005-09-01,77.97,2005
2005-10-01,79.28,2005
2005-11-01,79.26,2005
2005-12-01,78.78,2005
2006-01-01,80.28,2006
2006-02-01,81.14,2006
2006-03-01,82.67,2006
2006-04-01,84.68,2006
2006-05-01,83.34,2006
2006-06-01,83.7,2006
2006-07-01,84.64,2006
2006-08-01,85.0,2006
2006-09-01,85.28,2006
2006-10-01,86.36,2006
2006-11-01,87.19,2006
2006-12-01,87.95,2006
2007-01-01,89.58,2007
2007-02-01,92.15,2007
2007-03-01,95.31,2007
2007-04-01,95.64,2007
2007-05-01,95.06,2007
2007-06-01,96.87,2007
2007-07-01,101.55,2007
2007-08-01,96.24,2007
2007-09-01,94.86,2007
2007-10-01,95.65,2007
2007-11-01,94.49,2007
2007-12-01,98.19,2007
2008-01-01,97.0,2008
2008-02-01,93.51,2008
2008-03-01,90.93,2008
2008-04-01,91.52,2008
2008-05-01,92.47,2008
2008-06-01,89.89,2008
2008-07-01,88.58,2008
2008-08-01,86.95,2008
2008-09-01,87.27,2008
2008-10-01,88.03,2008
2008-11-01,87.37,2008
2008-12-01,84.68,2008
2009-01-01,85.09,2009
2009-02-01,86.67,2009
2009-03-01,86.79,2009
2009-04-01,87.06,2009
2009-05-01,86.73,2009
2009-06-01,87.54,2009
2009-07-01,87.29,2009
2009-08-01,86.86,2009
2009-09-01,86.2,2009
2009-10-01,86.12,2009
2009-11-01,86.14,2009
2009-12-01,86.57,2009
2010-01-01,87.61,2010
2010-02-01,88.18,2010
2010-03-01,89.71,2010
2010-04-01,90.62,2010
2010-05-01,91.87,2010
2010-06-01,92.52,2010
2010-07-01,91.14,2010
2010-08-01,91.66,2010
2010-09-01,93.1,2010
2010-10-01,93.05,2010
2010-11-01,93.62,2010
2010-12-01,93.49,2010
2011-01-01,91.45,2011
