sector_id,year,dva
A,1995,12872.601
A,1996,14507.307
A,1997,12053.906
A,1998,10303.243
A,1999,9732.752
A,2000,9279.274
A,2001,8844.774
A,2002,9947.338
A,2003,12125.478
A,2004,13561.759
A,2005,14703.105
A,2006,17540.273
A,2007,20697.317
A,2008,24692.492
A,2009,23171.97
A,2010,29968.908
A,2011,36250.499
A,2012,38253.427
A,2013,39651.424
A,2014,34696.817
A,2015,30313.883
A,2016,29984.518
A,2017,33054.798
A,2018,35858.97
A,2019,38321.079
A,2020,38061.365
A,2021,38350.022
A,2022,37381.955
A01,1995,9755.93
A01,1996,11230.769
A01,1997,9229.829
A01,1998,7912.532
A01,1999,7218.756
A01,2000,6620.97
A01,2001,6588.558
A01,2002,7683.293
A01,2003,9757.438
A01,2004,11148.384
A01,2005,12301.851
A01,2006,14940.401
A01,2007,18072.032
A01,2008,22005.885
A01,2009,20447.723
A01,2010,27008.432
A01,2011,32896.349
A01,2012,34866.185
A01,2013,36513.132
A01,2014,31469.365
A01,2015,27363.502
A01,2016,26954.941
A01,2017,29865.933
A01,2018,32346.533
A01,2019,34604.056
A01,2020,34254.383
A01,2021,34469.416
A01,2022,33606.101
A01_02,1995,10057.928
A01_02,1996,11549.744
A01_02,1997,9461.38
A01_02,1998,8074.664
A01_02,1999,7381.484
A01_02,2000,6774.672
A01_02,2001,6724.231
A01_02,2002,7818.769
A01_02,2003,9895.682
A01_02,2004,11292.163
A01_02,2005,12468.401
A01_02,2006,15133.385
A01_02,2007,18284.109
A01_02,2008,22221.847
A01_02,2009,20652.293
A01_02,2010,27245.446
A01_02,2011,33164.041
A01_02,2012,35154.598
A01_02,2013,36794.818
A01_02,2014,31773.529
A01_02,2015,27655.739
A01_02,2016,27268.403
A01_02,2017,30176.397
A01_02,2018,32683.702
A01_02,2019,34950.962
A01_02,2020,34606.125
A01_02,2021,34833.182
A01_02,2022,33943.756
A02,1995,301.998
A02,1996,318.975
A02,1997,231.551
A02,1998,162.133
A02,1999,162.728
A02,2000,153.702
A02,2001,135.673
A02,2002,135.476
A02,2003,138.244
A02,2004,143.779
A02,2005,166.55
A02,2006,192.984
A02,2007,212.077
A02,2008,215.961
A02,2009,204.571
A02,2010,237.013
A02,2011,267.691
A02,2012,288.413
A02,2013,281.685
A02,2014,304.164
A02,2015,292.238
A02,2016,313.462
A02,2017,310.464
A02,2018,337.168
A02,2019,346.907
A02,2020,351.742
A02,2021,363.766
A02,2022,337.655
A03,1995,2814.673
A03,1996,2957.563
A03,1997,2592.526
A03,1998,2228.579
A03,1999,2351.268
A03,2000,2504.602
A03,2001,2120.543
A03,2002,2128.57
A03,2003,2229.796
A03,2004,2269.596
A03,2005,2234.704
A03,2006,2406.888
A03,2007,2413.208
A03,2008,2470.645
A03,2009,2519.677
A03,2010,2723.463
A03,2011,3086.458
A03,2012,3098.829
A03,2013,2856.606
A03,2014,2923.288
A03,2015,2658.144
A03,2016,2716.115
A03,2017,2878.401
A03,2018,3175.269
A03,2019,3370.117
A03,2020,3455.24
A03,2021,3516.84
A03,2022,3438.199
B,1995,3163.6
B,1996,3383.834
B,1997,3207.233
B,1998,2413.227
B,1999,2637.653
B,2000,3067.693
B,2001,2886.711
B,2002,3157.236
B,2003,3672.415
B,2004,4252.248
B,2005,5264.616
B,2006,6490.008
B,2007,7696.419
B,2008,9230.758
B,2009,8809.827
B,2010,10635.98
B,2011,12355.16
B,2012,14267.916
B,2013,14832.656
B,2014,14225.562
B,2015,12152.987
B,2016,11230.18
B,2017,11625.159
B,2018,13177.573
B,2019,13708.885
B,2020,11232.25
B,2021,11871.812
B,2022,11597.493
B05,1995,241.277
B05,1996,253.869
B05,1997,266.023
B05,1998,168.329
B05,1999,166.112
B05,2000,143.728
B05,2001,142.293
B05,2002,147.357
B05,2003,143.567
B05,2004,149.443
B05,2005,147.218
B05,2006,146.182
B05,2007,156.522
B05,2008,136.5
B05,2009,299.982
B05,2010,363.168
B05,2011,425.374
B05,2012,355.166
B05,2013,361.13
B05,2014,342.207
B05,2015,282.804
B05,2016,303.494
B05,2017,316.901
B05,2018,332.979
B05,2019,317.454
B05,2020,305.267
B05,2021,299.481
B05,2022,267.656
B05_06,1995,1344.938
B05_06,1996,1406.804
B05_06,1997,1636.44
B05_06,1998,1383.251
B05_06,1999,1523.938
B05_06,2000,2066.643
B05_06,2001,2027.353
B05_06,2002,2189.285
B05_06,2003,2605.197
B05_06,2004,3024.808
B05_06,2005,3946.379
B05_06,2006,4976.313
B05_06,2007,5934.955
B05_06,2008,7268.789
B05_06,2009,6816.355
B05_06,2010,8384.797
B05_06,2011,9702.822
B05_06,2012,11503.46
