sector,output,domestic_content_share,import_content_share,export_content_share,domestic_intermediate_share,total_intermediate_share,content_plus_total_intermediate
A01,57823.389,0.5734111329932597,0.08861139218249557,0.19063104378057122,0.3306036247719759,0.4192150169544715,0.9926261499477312
A02,782.888,0.4160288572567213,0.12082188001348852,0.07281118116512196,0.44823780668499197,0.5690596866984805,0.9850885439552017
A03,7243.258,0.456945617566018,0.06756351906835295,0.01881487584730518,0.45824213358132493,0.5258056526496778,0.9827512702156957
B05,539.776,0.45316205240692436,0.19238165461228363,0.009896697889494903,0.31273898802466216,0.5051206426369458,0.9582826950438701
B06,14153.15,0.5205600166747332,0.1943686034557678,0.0045931117807696525,0.2784648647120959,0.47283346816786376,0.9933934848425969
B07,116.12,0.6076128143300034,0.10686358939028588,0.942636927316569,0.26485532208060625,0.37171891147089214,0.9793317258008956
B08,3405.083,0.545997263502828,0.12312915720409755,0.13971583071543336,0.30232772593208446,0.425456883136182,0.97145414663901
B09,2016.559,0.8988618731214906,0.027603457176308754,0.041392292514129264,0.06820430247763641,0.09580775965394517,0.9946696327754357
C10T12,86712.779,0.2995685445625033,0.10485057802149324,0.3433004724713067,0.5880770122705904,0.6929275902920837,0.9924961348545871
C13T15,43403.385,0.12109977136575868,0.20045245318999885,0.16142411473206525,0.6579766071240757,0.8584290603140745,0.9795288316798332
C16,3862.865,0.37983387977576233,0.18160795161104515,0.5528293119226274,0.4183363902181412,0.5999443418291863,0.9797782216049487
C17_18,8202.312,0.2111710698154374,0.2616323300064665,0.22884108773233694,0.4985001789739283,0.7601325089803949,0.9713035787958323
C19,37460.671,0.40273181438741446,0.3974046273757349,0.2163122224906222,0.19716296592765248,0.5945675933033874,0.9972994076908018
C20,31817.473,0.3082870848982884,0.33086747649632636,0.6984543995684384,0.30992832146034976,0.6407957979566761,0.9490828828549644
C21,3990.722,0.3942980743835326,0.2343205064146287,0.127515772835091,0.3566412293314343,0.5909617357460629,0.9852598101295955
C22,25898.497,0.28481390252106137,0.3262710187390412,0.5450387719410899,0.3627059516233702,0.6889769703624115,0.9737908728834728
C23,15994.831,0.24716703790118194,0.21726525275571837,0.1724554013731061,0.48895471293194653,0.7062199656876649,0.9533870035888468
C24A,7250.662,0.22560657219989017,0.38129083937439096,0.2423989699147471,0.34632299781730275,0.7276138371916937,0.9532204093915839
C24B,3394.632,0.28877091832045415,0.4268819123840227,0.9600077416344394,0.23740216907164016,0.664284081455663,0.9530549997761171
C25,12379.689,0.2875686941731735,0.3764849827810699,0.5083214933751566,0.3077301053362488,0.6842150881173187,0.9717837822904922
C26,91976.269,0.10288625645382506,0.392839015898764,0.505231159137364,0.4844704996676915,0.8773095155664555,0.9801957720202806
C27,14807.58,0.3686237048862812,0.34016139031496034,0.921872176277285,0.27072060390691793,0.6108819942218783,0.9795056991081594
C28,16626.598,0.27283969937806873,0.38101967702593154,0.8614820061205544,0.32089739584730437,0.7019170728732358,0.9747567722513045
C29,43031.218,0.2019298175571047,0.3536181337000501,0.6807238642420022,0.4161407887641015,0.7697589224641516,0.9716887400212563
C301,2778.101,0.34650144109231445,0.38300803318525856,0.6350168694370723,0.2570360112897263,0.6400440444749849,0.9865454855672993
C302T309,6209.882,0.16725535203406441,0.37916614196533854,0.5618942517748324,0.430926062685249,0.8100922046505875,0.9773475566846519
C31T33,35343.147,0.1626449676368661,0.29175251428515975,0.38082771746386934,0.5133187205994985,0.805071234884658,0.9677162025215241
D,53200.107,0.2300332591436329,0.4135706719537236,0.0055033159989697,0.3541698703726291,0.7677405423263528,0.9977738014699857
E,3590.872,0.5160133805939059,0.08941142986995916,0.00010888720065766757,0.3827560547967179,0.47216748466667713,0.988180865260583
F,39882.891,0.266830180389882,0.18850015160636172,1.2837584918304944e-05,0.5265884812613008,0.7150886328676626,0.9819188132575445
G,118508.5,0.750937257665062,0.06620677841673805,0.2658632587535915,0.17521643595185157,0.24142321436858963,0.9923604720336516
